"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2014","1,300.0","1,266.7","1,338.3","1,150.0","310.56M","5.55%"
"Dec 01, 2014","1,146.7","1,308.3","1,308.3","1,116.7","146.64M","-11.79%"
"Jan 01, 2015","1,146.7","1,145.0","1,220.0","1,126.7","100.92M","0.00%"
"Feb 01, 2015","1,248.3","1,133.3","1,261.7","1,128.3","117.55M","8.87%"
"Mar 01, 2015","1,250.0","1,243.3","1,315.0","1,195.0","130.56M","0.13%"
"Apr 01, 2015","1,346.7","1,243.3","1,438.3","1,226.7","177.22M","7.73%"
"May 01, 2015","1,296.7","1,343.3","1,348.3","1,261.7","87.31M","-3.71%"
"Jun 01, 2015","1,245.0","1,295.0","1,326.7","1,208.3","139.51M","-3.98%"
"Jul 01, 2015","1,303.3","1,243.3","1,316.7","1,173.3","74.12M","4.69%"
"Aug 01, 2015","1,243.3","1,296.7","1,333.3","1,093.3","75.67M","-4.60%"
"Sep 01, 2015","1,193.3","1,230.0","1,261.7","1,133.3","81.49M","-4.02%"
"Oct 01, 2015","1,300.0","1,208.3","1,306.7","1,193.3","148.25M","8.94%"
"Nov 01, 2015","1,281.7","1,280.0","1,331.7","1,268.3","73.00M","-1.41%"
"Dec 01, 2015","1,186.7","1,280.0","1,296.7","1,163.3","84.38M","-7.41%"
"Jan 01, 2016","1,261.7","1,190.0","1,266.7","1,095.0","115.44M","6.32%"
"Feb 01, 2016","1,116.7","1,266.7","1,290.0","1,063.3","95.83M","-11.49%"
"Mar 01, 2016","1,145.0","1,115.0","1,185.0","1,111.7","79.50M","2.54%"
"Apr 01, 2016","1,138.3","1,153.3","1,176.7","1,075.0","79.12M","-0.58%"
"May 01, 2016","1,258.3","1,093.3","1,288.3","1,090.0","152.19M","10.54%"
"Jun 01, 2016","1,245.0","1,253.3","1,276.7","1,186.7","115.94M","-1.06%"
"Jul 01, 2016","1,308.3","1,226.7","1,341.7","1,220.0","92.93M","5.09%"
"Aug 01, 2016","1,311.7","1,290.0","1,393.3","1,221.7","94.38M","0.26%"
"Sep 01, 2016","1,370.0","1,311.7","1,408.3","1,263.3","263.49M","4.45%"
"Oct 01, 2016","1,406.7","1,371.7","1,445.0","1,361.7","104.29M","2.68%"
"Nov 01, 2016","1,455.0","1,410.0","1,468.3","1,341.7","105.34M","3.44%"
"Dec 01, 2016","1,563.3","1,465.0","1,578.3","1,410.0","102.62M","7.45%"
"Jan 01, 2017","1,648.3","1,570.0","1,703.3","1,541.7","85.68M","5.44%"
"Feb 01, 2017","1,836.7","1,646.7","1,873.3","1,643.3","83.31M","11.43%"
"Mar 01, 2017","1,893.3","1,846.7","1,973.3","1,776.7","115.69M","3.09%"
"Apr 01, 2017","1,876.7","1,926.7","1,983.3","1,833.3","90.32M","-0.88%"
"May 01, 2017","1,956.7","1,883.3","2,113.3","1,850.0","129.64M","4.26%"
"Jun 01, 2017","1,931.0","1,906.7","2,073.3","1,906.7","112.56M","-1.31%"
"Jul 01, 2017","1,909.0","1,930.0","2,019.0","1,851.0","78.57M","-1.14%"
"Aug 01, 2017","2,191.0","1,910.0","2,205.0","1,887.0","83.26M","14.77%"
"Sep 01, 2017","2,437.0","2,193.0","2,535.0","2,161.0","238.65M","11.23%"
"Oct 01, 2017","2,776.0","2,425.0","2,790.0","2,407.0","152.08M","13.91%"
"Nov 01, 2017","2,647.0","2,734.0","2,770.0","2,551.5","129.61M","-4.65%"
"Dec 01, 2017","2,800.0","2,750.0","2,877.5","2,541.0","85.42M","5.78%"
"Jan 01, 2018","2,659.0","2,846.5","2,859.5","2,655.5","68.09M","-5.04%"
"Feb 01, 2018","2,592.0","2,666.5","2,750.5","2,370.0","83.12M","-2.52%"
"Mar 01, 2018","2,644.5","2,558.5","2,654.0","2,419.0","112.42M","2.03%"
"Apr 01, 2018","2,527.0","2,643.0","2,727.0","2,523.0","71.20M","-4.44%"
"May 01, 2018","3,030.0","2,530.5","3,062.0","2,525.5","100.96M","19.91%"
"Jun 01, 2018","3,066.0","3,022.0","3,223.0","2,961.5","74.40M","1.19%"
"Jul 01, 2018","3,055.0","3,066.0","3,231.0","2,912.5","72.87M","-0.36%"
"Aug 01, 2018","3,387.0","3,072.0","3,484.0","3,028.0","99.93M","10.87%"
"Sep 01, 2018","3,792.0","3,368.0","3,839.0","3,324.0","94.15M","11.96%"
"Oct 01, 2018","3,037.0","3,795.0","3,845.0","2,688.5","127.69M","-19.91%"
"Nov 01, 2018","3,123.0","3,086.0","3,224.0","2,739.0","110.12M","2.83%"
"Dec 01, 2018","2,662.5","3,200.0","3,246.0","2,527.5","106.51M","-14.75%"
"Jan 01, 2019","2,912.5","2,572.5","2,950.0","2,547.0","78.92M","9.39%"
"Feb 01, 2019","3,114.0","2,912.5","3,173.0","2,850.0","69.91M","6.92%"
"Mar 01, 2019","3,161.0","3,129.0","3,215.0","2,919.5","78.98M","1.51%"
"Apr 01, 2019","3,329.0","3,184.0","3,336.0","3,022.0","65.56M","5.31%"
"May 01, 2019","3,468.0","3,330.0","3,629.0","3,165.0","98.10M","4.18%"
"Jun 01, 2019","3,594.0","3,445.0","3,606.0","3,291.0","74.75M","3.63%"
"Jul 01, 2019","3,718.0","3,601.0","3,761.0","3,430.0","64.90M","3.45%"
"Aug 01, 2019","3,219.0","3,694.0","3,757.0","3,041.0","96.21M","-13.42%"
"Sep 01, 2019","3,286.0","3,199.0","3,465.0","3,137.0","210.80M","2.08%"
"Oct 01, 2019","3,611.0","3,305.0","3,628.0","3,296.0","99.81M","9.89%"
"Nov 01, 2019","3,962.0","3,601.0","4,057.0","3,576.0","93.16M","9.72%"
"Dec 01, 2019","4,099.0","3,982.0","4,199.0","3,893.0","59.07M","3.46%"
"Jan 01, 2020","4,304.0","4,052.0","4,466.0","4,001.0","65.61M","5.00%"
"Feb 01, 2020","3,758.0","4,269.0","4,615.0","3,672.0","84.51M","-12.69%"
"Mar 01, 2020","2,796.0","3,688.0","3,924.0","2,442.5","205.49M","-25.60%"
"Apr 01, 2020","3,182.0","2,757.0","3,216.0","2,240.5","188.66M","13.81%"
"May 01, 2020","3,710.0","3,182.0","3,938.0","3,005.0","108.43M","16.59%"
"Jun 01, 2020","3,682.0","3,703.0","4,052.0","3,529.0","118.39M","-0.75%"
"Jul 01, 2020","3,268.0","3,690.0","3,794.0","3,264.0","71.65M","-11.24%"
"Aug 01, 2020","4,026.0","3,284.0","4,100.0","3,276.0","78.34M","23.19%"
"Sep 01, 2020","4,160.0","4,000.0","4,340.0","3,871.0","72.01M","3.33%"
"Oct 01, 2020","3,970.0","4,163.0","4,406.0","3,970.0","48.98M","-4.57%"
"Nov 01, 2020","4,400.0","4,009.0","4,906.0","4,000.0","83.85M","10.83%"
"Dec 01, 2020","4,321.0","4,177.0","4,399.0","3,999.0","147.29M","-1.80%"
"Jan 01, 2021","4,542.0","4,342.0","4,732.0","4,173.0","75.69M","5.11%"
"Feb 01, 2021","5,281.0","4,579.0","5,568.0","4,566.0","77.01M","16.27%"
"Mar 01, 2021","5,401.0","5,473.0","5,548.0","4,817.0","93.04M","2.27%"
"Apr 01, 2021","4,939.0","5,400.0","5,456.0","4,857.0","57.88M","-8.55%"
"May 01, 2021","5,555.0","5,245.0","5,779.0","4,757.0","81.13M","12.47%"
"Jun 01, 2021","5,470.0","5,585.0","5,832.0","5,341.0","73.22M","-1.53%"
"Jul 01, 2021","5,629.0","5,451.0","5,852.0","5,377.0","56.32M","2.91%"
"Aug 01, 2021","6,500.0","5,699.0","6,515.0","5,543.0","71.74M","15.47%"
"Sep 01, 2021","6,832.0","6,461.0","7,199.0","6,393.0","87.13M","5.11%"
"Oct 01, 2021","7,572.0","6,850.0","7,573.0","6,563.0","93.32M","10.83%"
"Nov 01, 2021","6,901.0","7,677.0","8,180.0","6,861.0","92.62M","-8.86%"
