"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 01, 1984","1,568.2","1,772.7","1,790.9","1,559.1","17.69M","-12.66%"
"Mar 01, 1984","1,709.1","1,554.5","1,754.5","1,522.7","21.69M","8.98%"
"Apr 01, 1984","1,677.3","1,686.4","1,722.7","1,590.9","10.42M","-1.86%"
"May 01, 1984","1,504.5","1,659.1","1,681.8","1,495.5","8.86M","-10.30%"
"Jun 01, 1984","1,613.6","1,495.5","1,681.8","1,440.9","17.86M","7.25%"
"Jul 01, 1984","1,522.7","1,631.8","1,645.5","1,450.0","11.34M","-5.63%"
"Aug 01, 1984","1,586.4","1,527.3","1,663.6","1,513.6","13.18M","4.18%"
"Sep 01, 1984","1,840.9","1,609.1","1,940.9","1,568.2","60.41M","16.04%"
"Oct 01, 1984","1,768.2","1,827.3","1,881.8","1,718.2","27.62M","-3.95%"
"Nov 01, 1984","1,627.3","1,759.1","1,772.7","1,627.3","9.13M","-7.97%"
"Dec 01, 1984","1,613.6","1,627.3","1,713.6","1,581.8","9.02M","-0.84%"
"Jan 01, 1985","1,868.2","1,568.2","1,890.9","1,563.6","45.91M","15.78%"
"Feb 01, 1985","2,200.0","1,868.2","2,227.3","1,790.9","65.97M","17.76%"
"Mar 01, 1985","1,968.2","2,222.7","2,290.9","1,950.0","40.58M","-10.54%"
"Apr 01, 1985","1,986.4","1,936.4","2,009.1","1,877.3","12.91M","0.92%"
"May 01, 1985","1,918.2","1,977.3","1,981.8","1,800.0","11.98M","-3.43%"
"Jun 01, 1985","1,913.6","1,845.5","1,927.3","1,713.6","13.73M","-0.24%"
"Jul 01, 1985","1,590.9","1,890.9","1,904.5","1,545.5","12.37M","-16.86%"
"Aug 01, 1985","1,613.6","1,613.6","1,745.5","1,604.5","13.95M","1.43%"
"Sep 01, 1985","1,527.3","1,627.3","1,768.2","1,518.2","14.59M","-5.35%"
"Oct 01, 1985","1,786.4","1,522.7","1,868.2","1,522.7","37.49M","16.96%"
"Nov 01, 1985","1,763.6","1,763.6","1,813.6","1,636.4","17.82M","-1.28%"
"Dec 01, 1985","1,859.1","1,736.4","1,977.3","1,727.3","36.64M","5.42%"
"Jan 01, 1986","1,786.4","1,881.8","1,904.5","1,772.7","16.28M","-3.91%"
"Feb 01, 1986","1,581.8","1,781.8","1,795.5","1,568.2","23.89M","-11.45%"
"Mar 01, 1986","1,736.4","1,590.9","1,759.1","1,550.0","22.05M","9.77%"
"Apr 01, 1986","1,759.1","1,690.9","1,822.7","1,645.5","27.06M","1.31%"
"May 01, 1986","1,636.4","1,750.0","1,750.0","1,572.7","19.04M","-6.98%"
"Jun 01, 1986","1,536.4","1,672.7","1,686.4","1,531.8","19.49M","-6.11%"
"Jul 01, 1986","1,277.3","1,522.7","1,527.3","1,272.7","40.66M","-16.86%"
"Aug 01, 1986","1,472.7","1,277.3","1,500.0","1,272.7","23.71M","15.30%"
"Sep 01, 1986","1,390.9","1,436.4","1,563.6","1,390.9","22.60M","-5.55%"
"Oct 01, 1986","1,613.6","1,395.5","1,727.3","1,309.1","51.22M","16.01%"
"Nov 01, 1986","1,631.8","1,677.3","1,695.5","1,500.0","24.78M","1.13%"
"Dec 01, 1986","1,586.4","1,604.5","1,686.4","1,572.7","31.22M","-2.78%"
"Jan 01, 1987","1,368.2","1,522.7","1,590.9","1,368.2","19.31M","-13.75%"
"Feb 01, 1987","1,513.6","1,422.7","1,636.4","1,400.0","26.61M","10.63%"
"Mar 01, 1987","1,250.0","1,490.9","1,563.6","1,250.0","22.06M","-17.42%"
"Apr 01, 1987","1,286.4","1,345.5","1,368.2","1,163.6","27.71M","2.91%"
"May 01, 1987","1,422.7","1,304.5","1,436.4","1,250.0","23.39M","10.60%"
"Jun 01, 1987","1,931.8","1,427.3","2,022.7","1,372.7","176.45M","35.78%"
"Jul 01, 1987","2,172.7","1,931.8","2,263.6","1,750.0","100.65M","12.47%"
"Aug 01, 1987","2,140.9","2,254.5","2,518.2","2,118.2","150.83M","-1.46%"
"Sep 01, 1987","2,540.9","2,154.5","2,568.2","2,113.6","101.88M","18.68%"
"Oct 01, 1987","1,845.5","2,536.4","2,595.5","1,727.3","123.99M","-27.37%"
"Nov 01, 1987","2,136.4","1,850.0","2,290.9","1,727.3","104.49M","15.76%"
"Dec 01, 1987","2,159.1","2,113.6","2,359.1","2,072.7","79.40M","1.06%"
"Jan 01, 1988","2,136.4","2,100.0","2,336.4","2,100.0","39.21M","-1.05%"
"Feb 01, 1988","2,222.7","2,159.1","2,227.3","2,090.9","26.75M","4.04%"
"Mar 01, 1988","2,377.3","2,227.3","2,436.4","2,213.6","81.53M","6.96%"
"Apr 01, 1988","2,513.6","2,377.3","2,590.9","2,327.3","65.04M","5.73%"
"May 01, 1988","2,318.2","2,550.0","2,581.8","2,277.3","32.41M","-7.77%"
"Jun 01, 1988","2,400.0","2,363.6","2,477.3","2,286.4","29.79M","3.53%"
"Jul 01, 1988","3,159.1","2,368.2","3,295.5","2,313.6","214.82M","31.63%"
"Aug 01, 1988","3,040.9","3,250.0","3,300.0","2,940.9","148.63M","-3.74%"
"Sep 01, 1988","2,954.5","2,995.5","3,186.4","2,950.0","66.04M","-2.84%"
"Oct 01, 1988","2,722.7","2,954.5","2,972.7","2,640.9","35.64M","-7.85%"
"Nov 01, 1988","3,013.6","2,727.3","3,068.2","2,572.7","63.42M","10.68%"
"Dec 01, 1988","3,259.1","3,022.7","3,313.6","2,945.5","106.09M","8.15%"
"Jan 01, 1989","3,300.0","3,259.1","3,440.9","3,227.3","90.11M","1.25%"
"Feb 01, 1989","3,127.3","3,318.2","3,340.9","3,090.9","46.91M","-5.23%"
"Mar 01, 1989","3,050.0","3,181.8","3,240.9","3,004.5","36.13M","-2.47%"
"Apr 01, 1989","3,000.0","3,095.5","3,150.0","2,977.3","24.70M","-1.64%"
