"Date","Price","Open","High","Low","Vol.","Change %"
"May 01, 1997","856.8","745.5","886.4","718.2","5.05M","14.93%"
"Jun 01, 1997","840.9","840.9","895.5","813.6","1.94M","-1.86%"
"Jul 01, 1997","840.9","829.5","868.2","738.6","2.51M","0.00%"
"Aug 01, 1997","667.5","829.5","840.9","647.7","1.46M","-20.62%"
"Sep 01, 1997","632.5","655.0","747.5","607.5","609.20K","-5.24%"
"Oct 01, 1997","562.5","625.0","647.5","540.0","1.47M","-11.07%"
"Nov 01, 1997","525.0","552.5","587.5","490.0","1.91M","-6.67%"
"Dec 01, 1997","522.5","540.0","580.0","465.0","828.00K","-0.48%"
"Jan 01, 1998","437.5","520.0","550.0","362.5","2.86M","-16.27%"
"Feb 01, 1998","455.0","430.0","487.5","395.0","1.80M","4.00%"
"Mar 01, 1998","325.0","455.0","455.0","320.0","1.13M","-28.57%"
"Apr 01, 1998","327.5","330.0","360.0","310.0","3.20M","0.77%"
"May 01, 1998","312.2","325.5","325.5","290.0","1.18M","-4.67%"
"Jun 01, 1998","325.0","309.8","331.5","262.5","2.30M","4.10%"
"Jul 01, 1998","352.5","330.0","402.5","330.0","2.44M","8.46%"
"Aug 01, 1998","361.2","352.5","402.5","347.8","1.56M","2.47%"
"Sep 01, 1998","367.5","362.2","375.2","355.0","1.32M","1.74%"
"Oct 01, 1998","337.5","362.5","375.0","320.2","2.11M","-8.16%"
"Nov 01, 1998","362.5","350.0","375.0","348.8","958.40K","7.41%"
"Dec 01, 1998","499.5","362.5","500.0","362.5","2.19M","37.79%"
"Jan 01, 1999","647.5","495.0","648.8","495.0","2.51M","29.63%"
"Feb 01, 1999","912.5","645.0","997.5","607.5","8.41M","40.93%"
"Mar 01, 1999","1,172.5","912.5","1,245.0","897.5","13.14M","28.49%"
"Apr 01, 1999","1,535.0","1,175.0","1,582.5","1,172.5","10.73M","30.92%"
"May 01, 1999","1,450.0","1,550.0","1,572.5","1,285.0","3.96M","-5.54%"
"Jun 01, 1999","3,250.0","1,450.0","3,700.0","1,447.5","19.25M","124.14%"
"Jul 01, 1999","3,987.5","3,425.0","4,325.0","3,250.0","15.75M","22.69%"
"Aug 01, 1999","4,425.0","3,987.5","4,495.0","3,900.0","8.78M","10.97%"
"Sep 01, 1999","5,275.0","4,325.0","5,797.5","4,000.0","9.76M","19.21%"
"Oct 01, 1999","6,250.0","5,125.0","6,452.5","4,972.5","10.85M","18.48%"
"Nov 01, 1999","9,500.0","6,400.0","10,175.0","6,300.0","18.77M","52.00%"
"Dec 01, 1999","10,400.0","9,350.0","10,875.0","8,400.0","9.71M","9.47%"
"Jan 01, 2000","9,125.0","10,400.0","10,525.0","8,700.0","7.79M","-12.26%"
"Feb 01, 2000","7,812.5","9,362.5","9,512.5","7,475.0","11.35M","-14.38%"
"Mar 01, 2000","11,287.5","8,112.5","11,375.0","7,750.0","10.72M","44.48%"
"Apr 01, 2000","11,900.0","10,687.5","12,375.0","9,500.0","7.46M","5.43%"
"May 01, 2000","11,487.5","11,750.0","14,000.0","10,262.5","5.90M","-3.47%"
"Jun 01, 2000","11,100.0","11,412.5","12,625.0","10,200.0","7.07M","-3.37%"
"Jul 01, 2000","9,875.0","11,000.0","11,125.0","8,487.5","5.84M","-11.04%"
"Aug 01, 2000","8,560.0","10,000.0","10,050.0","8,000.0","9.39M","-13.32%"
"Sep 01, 2000","11,000.0","8,600.0","11,700.0","8,275.0","5.71M","28.50%"
"Oct 01, 2000","13,425.0","11,000.0","13,650.0","10,750.0","8.83M","22.05%"
"Nov 01, 2000","13,520.0","13,550.0","16,100.0","12,920.0","5.91M","0.71%"
"Dec 01, 2000","11,190.0","13,400.0","14,850.0","10,825.0","7.03M","-17.23%"
"Jan 01, 2001","9,995.0","11,250.0","11,850.0","8,805.0","8.40M","-10.68%"
"Feb 01, 2001","9,445.0","9,795.0","11,045.0","8,500.0","5.56M","-5.50%"
"Mar 01, 2001","10,400.0","9,495.0","11,250.0","8,550.0","6.26M","10.11%"
"Apr 01, 2001","13,335.0","10,100.0","13,725.0","9,500.0","6.16M","28.22%"
"May 01, 2001","11,570.0","13,635.0","13,975.0","11,355.0","5.53M","-13.24%"
"Jun 01, 2001","10,850.0","11,550.0","12,000.0","9,825.0","5.80M","-6.22%"
"Jul 01, 2001","11,180.0","10,700.0","11,890.0","10,005.0","5.67M","3.04%"
"Aug 01, 2001","7,500.0","11,330.0","11,475.0","7,025.0","7.48M","-32.92%"
"Sep 01, 2001","6,695.0","7,100.0","7,450.0","5,000.0","8.55M","-10.73%"
"Oct 01, 2001","7,125.0","7,000.0","8,455.0","6,410.0","6.62M","6.42%"
"Nov 01, 2001","6,105.0","7,130.0","7,210.0","5,225.0","9.87M","-14.32%"
"Dec 01, 2001","5,830.0","6,110.0","6,750.0","5,675.0","4.28M","-4.50%"
"Jan 01, 2002","3,170.0","5,995.0","6,600.0","2,905.0","29.20M","-45.63%"
"Feb 01, 2002","2,360.0","3,170.0","3,190.0","2,280.0","12.20M","-25.55%"
"Mar 01, 2002","3,200.0","2,400.0","3,440.0","2,270.0","8.19M","35.59%"
"Apr 01, 2002","3,420.0","3,250.0","3,940.0","3,150.0","7.45M","6.88%"
"May 01, 2002","3,350.0","3,270.0","3,420.0","2,595.0","10.05M","-2.05%"
"Jun 01, 2002","2,600.0","3,330.0","3,330.0","2,430.0","6.56M","-22.39%"
"Jul 01, 2002","3,150.0","2,715.0","3,170.0","2,550.0","7.84M","21.15%"
"Aug 01, 2002","3,430.0","3,130.0","3,550.0","2,960.0","6.67M","8.89%"
"Sep 01, 2002","3,140.0","3,460.0","3,460.0","2,930.0","4.03M","-8.45%"
"Oct 01, 2002","3,790.0","3,150.0","3,910.0","2,890.0","8.87M","20.70%"
"Nov 01, 2002","4,390.0","3,800.0","4,490.0","3,450.0","8.30M","15.83%"
"Dec 01, 2002","4,180.0","4,360.0","4,370.0","3,630.0","3.89M","-4.78%"
"Jan 01, 2003","3,290.0","4,230.0","4,270.0","3,210.0","5.99M","-21.29%"
"Feb 01, 2003","3,150.0","3,280.0","3,580.0","3,020.0","4.02M","-4.26%"
"Mar 01, 2003","2,920.0","3,200.0","3,330.0","2,690.0","4.50M","-7.30%"
"Apr 01, 2003","3,470.0","2,870.0","3,530.0","2,850.0","4.59M","18.84%"
"May 01, 2003","4,050.0","3,470.0","4,120.0","3,260.0","4.97M","16.71%"
"Jun 01, 2003","3,710.0","3,910.0","3,980.0","3,290.0","6.87M","-8.40%"
"Jul 01, 2003","3,870.0","3,660.0","4,460.0","3,650.0","8.75M","4.31%"
"Aug 01, 2003","4,850.0","3,880.0","4,980.0","3,820.0","7.59M","25.32%"
"Sep 01, 2003","5,260.0","4,700.0","5,510.0","4,690.0","9.54M","8.45%"
"Oct 01, 2003","6,680.0","5,260.0","7,030.0","5,180.0","12.07M","27.00%"
"Nov 01, 2003","6,460.0","6,950.0","7,260.0","5,840.0","5.91M","-3.29%"
"Dec 01, 2003","6,510.0","6,540.0","6,970.0","5,800.0","5.41M","0.77%"
"Jan 01, 2004","6,850.0","6,530.0","7,100.0","6,510.0","4.81M","5.22%"
"Feb 01, 2004","7,450.0","7,050.0","7,730.0","6,540.0","4.24M","8.76%"
"Mar 01, 2004","8,510.0","7,550.0","8,670.0","7,220.0","10.78M","14.23%"
"Apr 01, 2004","8,600.0","8,610.0","9,100.0","7,800.0","7.94M","1.06%"
"May 01, 2004","8,110.0","8,510.0","8,640.0","6,960.0","6.47M","-5.70%"
"Jun 01, 2004","8,830.0","8,200.0","8,930.0","8,090.0","5.12M","8.88%"
"Jul 01, 2004","7,850.0","8,800.0","9,050.0","7,620.0","5.48M","-11.10%"
"Aug 01, 2004","7,900.0","7,950.0","8,130.0","7,260.0","5.31M","0.64%"
"Sep 01, 2004","7,490.0","8,000.0","8,170.0","7,000.0","6.23M","-5.19%"
"Oct 01, 2004","6,740.0","7,500.0","7,900.0","6,430.0","10.01M","-10.01%"
"Nov 01, 2004","7,750.0","6,840.0","7,970.0","6,700.0","7.96M","14.99%"
"Dec 01, 2004","7,800.0","7,700.0","7,870.0","7,280.0","5.00M","0.65%"
"Jan 01, 2005","7,050.0","7,900.0","7,960.0","6,970.0","7.30M","-9.62%"
"Feb 01, 2005","6,920.0","7,170.0","7,360.0","6,910.0","6.46M","-1.84%"
"Mar 01, 2005","6,490.0","6,920.0","6,930.0","6,380.0","11.33M","-6.21%"
"Apr 01, 2005","6,210.0","6,450.0","6,520.0","5,810.0","13.25M","-4.31%"
"May 01, 2005","5,740.0","6,230.0","6,250.0","5,710.0","7.92M","-7.57%"
"Jun 01, 2005","5,760.0","5,720.0","5,970.0","5,520.0","7.82M","0.35%"
"Jul 01, 2005","6,590.0","5,770.0","6,640.0","5,740.0","10.31M","14.41%"
"Aug 01, 2005","8,430.0","6,630.0","9,000.0","6,300.0","53.21M","27.92%"
"Sep 01, 2005","8,610.0","8,400.0","8,920.0","8,130.0","16.70M","2.14%"
"Oct 01, 2005","8,140.0","8,510.0","8,680.0","7,680.0","13.17M","-5.46%"
"Nov 01, 2005","8,490.0","8,210.0","8,570.0","7,830.0","11.14M","4.30%"
