"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 01, 2005","2,110.0","2,325.0","2,330.0","2,085.0","54.57M","-9.25%"
"Nov 01, 2005","2,185.0","2,160.0","2,215.0","2,075.0","38.80M","3.55%"
"Dec 01, 2005","2,275.0","2,225.0","2,370.0","2,180.0","49.46M","4.12%"
"Jan 01, 2006","2,430.0","2,310.0","2,490.0","2,280.0","40.21M","6.81%"
"Feb 01, 2006","2,390.0","2,440.0","2,500.0","2,340.0","38.78M","-1.65%"
"Mar 01, 2006","2,685.0","2,355.0","2,710.0","2,335.0","42.28M","12.34%"
"Apr 01, 2006","2,935.0","2,805.0","3,130.0","2,700.0","50.54M","9.31%"
"May 01, 2006","3,060.0","2,975.0","3,060.0","2,725.0","49.98M","4.26%"
"Jun 01, 2006","3,150.0","2,960.0","3,170.0","2,705.0","57.21M","2.94%"
"Jul 01, 2006","3,150.0","3,170.0","3,420.0","2,920.0","43.43M","0.00%"
"Aug 01, 2006","3,240.0","3,200.0","3,310.0","3,050.0","46.28M","2.86%"
"Sep 01, 2006","3,350.0","3,220.0","3,390.0","3,070.0","35.27M","3.40%"
"Oct 01, 2006","3,480.0","3,400.0","3,510.0","3,340.0","41.46M","3.88%"
"Nov 01, 2006","3,560.0","3,480.0","3,570.0","3,170.0","46.52M","2.30%"
"Dec 01, 2006","3,720.0","3,540.0","3,790.0","3,420.0","35.07M","4.49%"
"Jan 01, 2007","3,360.0","3,770.0","3,870.0","3,310.0","44.39M","-9.68%"
"Feb 01, 2007","3,810.0","3,510.0","3,990.0","3,470.0","53.92M","13.39%"
"Mar 01, 2007","3,610.0","3,790.0","3,800.0","3,500.0","52.71M","-5.25%"
"Apr 01, 2007","3,580.0","3,590.0","3,790.0","3,530.0","36.83M","-0.83%"
"May 01, 2007","3,340.0","3,620.0","3,660.0","3,240.0","55.61M","-6.70%"
"Jun 01, 2007","3,270.0","3,290.0","3,400.0","3,200.0","60.64M","-2.10%"
"Jul 01, 2007","3,290.0","3,300.0","3,420.0","3,210.0","48.26M","0.61%"
"Aug 01, 2007","3,160.0","3,260.0","3,580.0","3,080.0","63.25M","-3.95%"
"Sep 01, 2007","3,450.0","3,160.0","3,470.0","2,960.0","42.38M","9.18%"
"Oct 01, 2007","3,270.0","3,400.0","3,710.0","3,020.0","77.93M","-5.22%"
"Nov 01, 2007","3,470.0","3,240.0","3,740.0","3,210.0","81.20M","6.12%"
"Dec 01, 2007","3,440.0","3,520.0","3,610.0","3,320.0","43.07M","-0.86%"
"Jan 01, 2008","3,190.0","3,450.0","3,580.0","3,060.0","57.45M","-7.27%"
"Feb 01, 2008","3,260.0","3,190.0","3,310.0","2,940.0","58.49M","2.19%"
"Mar 01, 2008","2,945.0","3,210.0","3,310.0","2,745.0","58.76M","-9.66%"
"Apr 01, 2008","2,860.0","2,960.0","3,160.0","2,845.0","46.77M","-2.89%"
"May 01, 2008","2,975.0","2,845.0","2,990.0","2,640.0","63.83M","4.02%"
"Jun 01, 2008","2,925.0","2,945.0","3,090.0","2,735.0","84.01M","-1.68%"
"Jul 01, 2008","3,230.0","2,950.0","3,240.0","2,820.0","92.03M","10.43%"
"Aug 01, 2008","3,300.0","3,200.0","3,310.0","3,050.0","45.52M","2.17%"
"Sep 01, 2008","2,695.0","3,250.0","3,340.0","2,670.0","72.16M","-18.33%"
"Oct 01, 2008","2,000.0","2,730.0","2,795.0","1,703.0","127.16M","-25.79%"
"Nov 01, 2008","1,935.0","1,980.0","2,020.0","1,630.0","76.59M","-3.25%"
"Dec 01, 2008","2,100.0","1,920.0","2,105.0","1,759.0","59.59M","8.53%"
"Jan 01, 2009","2,040.0","2,150.0","2,155.0","1,765.0","53.13M","-2.86%"
"Feb 01, 2009","1,591.0","2,090.0","2,130.0","1,507.0","69.57M","-22.01%"
"Mar 01, 2009","1,648.0","1,501.0","1,750.0","1,500.0","82.48M","3.58%"
"Apr 01, 2009","1,655.0","1,678.0","1,850.0","1,621.0","55.23M","0.42%"
"May 01, 2009","1,779.0","1,648.0","1,836.0","1,611.0","77.37M","7.49%"
"Jun 01, 2009","1,728.0","1,780.0","1,800.0","1,686.0","53.45M","-2.87%"
"Jul 01, 2009","1,720.0","1,729.0","1,775.0","1,650.0","57.68M","-0.46%"
"Aug 01, 2009","1,985.0","1,727.0","2,065.0","1,710.0","95.12M","15.41%"
"Sep 01, 2009","1,853.0","2,015.0","2,015.0","1,807.0","48.81M","-6.65%"
"Oct 01, 2009","1,788.0","1,850.0","1,853.0","1,685.0","67.89M","-3.51%"
"Nov 01, 2009","1,693.0","1,748.0","1,803.0","1,620.0","46.82M","-5.31%"
"Dec 01, 2009","1,949.0","1,693.0","1,960.0","1,668.0","50.14M","15.12%"
"Jan 01, 2010","1,882.0","1,950.0","2,000.0","1,875.0","44.70M","-3.44%"
"Feb 01, 2010","1,798.0","1,870.0","1,910.0","1,750.0","51.18M","-4.46%"
"Mar 01, 2010","1,751.0","1,812.0","1,824.0","1,736.0","80.07M","-2.61%"
"Apr 01, 2010","1,638.0","1,755.0","1,772.0","1,615.0","73.81M","-6.45%"
"May 01, 2010","1,610.0","1,610.0","1,695.0","1,546.0","67.30M","-1.71%"
"Jun 01, 2010","1,590.0","1,615.0","1,660.0","1,573.0","54.79M","-1.24%"
"Jul 01, 2010","1,609.0","1,580.0","1,635.0","1,530.0","38.70M","1.19%"
"Aug 01, 2010","1,679.0","1,627.0","1,701.0","1,603.0","50.13M","4.35%"
"Sep 01, 2010","1,698.0","1,672.0","1,748.0","1,646.0","48.41M","1.13%"
"Oct 01, 2010","1,705.0","1,702.0","1,799.0","1,680.0","56.04M","0.41%"
