"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 01, 1984","176.8","191.7","193.1","168.6","87.64M","-7.77%"
"Mar 01, 1984","184.9","176.8","184.9","168.6","161.40M","4.58%"
"Apr 01, 1984","183.6","186.3","195.8","179.5","97.11M","-0.70%"
"May 01, 1984","175.4","187.7","199.9","172.7","99.59M","-4.47%"
"Jun 01, 1984","179.9","175.4","184.9","172.7","57.53M","2.57%"
"Jul 01, 1984","184.2","181.3","185.6","171.3","135.58M","2.39%"
"Aug 01, 1984","209.9","181.3","212.7","181.3","203.62M","13.95%"
"Sep 01, 1984","197.0","209.9","211.3","191.3","89.02M","-6.15%"
"Oct 01, 1984","192.8","197.0","199.9","188.5","69.39M","-2.13%"
"Nov 01, 1984","174.2","191.3","191.3","171.3","63.63M","-9.65%"
"Dec 01, 1984","174.2","177.1","185.6","172.8","80.98M","0.00%"
"Jan 01, 1985","191.3","174.2","194.2","174.2","67.28M","9.82%"
"Feb 01, 1985","187.0","191.3","191.3","181.3","67.30M","-2.25%"
"Mar 01, 1985","184.2","188.5","197.0","178.5","69.98M","-1.50%"
"Apr 01, 1985","187.0","179.9","195.6","171.3","68.71M","1.52%"
"May 01, 1985","175.6","187.0","188.5","175.6","64.65M","-6.10%"
"Jun 01, 1985","190.4","171.3","191.9","167.1","94.64M","8.43%"
"Jul 01, 1985","169.4","187.4","194.9","169.4","72.28M","-11.03%"
"Aug 01, 1985","172.4","170.9","179.9","167.9","56.19M","1.77%"
"Sep 01, 1985","157.4","172.4","175.4","149.9","60.08M","-8.70%"
"Oct 01, 1985","175.4","160.4","175.4","157.4","70.85M","11.44%"
"Nov 01, 1985","172.4","172.4","175.4","164.9","52.28M","-1.71%"
"Dec 01, 1985","181.4","172.4","188.9","167.9","70.36M","5.22%"
"Jan 01, 1986","187.4","184.4","193.4","181.4","103.52M","3.31%"
"Feb 01, 1986","175.4","184.4","190.4","173.9","74.14M","-6.40%"
"Mar 01, 1986","197.9","178.4","202.4","169.4","157.93M","12.83%"
"Apr 01, 1986","248.9","194.9","253.4","190.4","543.33M","25.77%"
"May 01, 1986","227.9","244.4","248.9","215.9","119.60M","-8.44%"
"Jun 01, 1986","232.4","236.9","250.4","223.4","144.41M","1.97%"
"Jul 01, 1986","193.4","235.4","235.4","184.4","92.82M","-16.78%"
"Aug 01, 1986","241.4","187.4","253.4","184.4","198.40M","24.82%"
"Sep 01, 1986","302.8","236.9","323.8","229.4","539.95M","25.43%"
"Oct 01, 1986","286.4","313.3","313.3","254.9","194.74M","-5.42%"
"Nov 01, 1986","293.8","290.8","301.3","268.4","83.66M","2.58%"
"Dec 01, 1986","332.8","299.8","352.3","293.8","558.16M","13.27%"
"Jan 01, 1987","274.4","317.8","322.3","269.9","196.48M","-17.55%"
"Feb 01, 1987","265.4","286.4","292.3","262.4","114.12M","-3.28%"
"Mar 01, 1987","236.9","265.4","287.9","233.9","140.04M","-10.74%"
"Apr 01, 1987","251.9","238.4","251.9","203.9","142.65M","6.33%"
"May 01, 1987","272.9","251.9","275.9","233.9","134.66M","8.34%"
"Jun 01, 1987","292.3","274.4","320.8","269.9","286.26M","7.11%"
"Jul 01, 1987","313.3","287.9","319.3","254.9","172.92M","7.18%"
"Aug 01, 1987","287.9","305.8","340.3","286.4","335.16M","-8.11%"
"Sep 01, 1987","329.8","289.3","332.8","283.4","192.72M","14.55%"
"Oct 01, 1987","266.9","335.8","367.3","253.4","530.51M","-19.07%"
"Nov 01, 1987","269.9","274.4","287.9","254.9","101.97M","1.12%"
"Dec 01, 1987","275.9","265.4","283.4","262.4","109.04M","2.22%"
"Jan 01, 1988","280.4","268.4","293.8","266.9","77.49M","1.63%"
"Feb 01, 1988","328.3","286.4","337.3","275.9","256.07M","17.08%"
"Mar 01, 1988","358.3","334.3","373.3","331.3","623.68M","9.14%"
"Apr 01, 1988","365.8","356.8","371.8","350.8","165.59M","2.09%"
"May 01, 1988","337.3","362.8","365.8","335.8","80.04M","-7.79%"
"Jun 01, 1988","347.8","343.3","350.8","334.3","104.74M","3.11%"
"Jul 01, 1988","442.3","349.3","454.3","343.3","622.83M","27.17%"
"Aug 01, 1988","391.3","452.8","452.8","386.8","263.46M","-11.53%"
"Sep 01, 1988","391.3","385.3","409.3","379.3","145.20M","0.00%"
"Oct 01, 1988","376.3","389.8","389.8","364.3","90.97M","-3.83%"
"Nov 01, 1988","379.3","374.8","382.3","337.3","143.34M","0.80%"
"Dec 01, 1988","399.8","379.3","406.3","364.3","198.52M","5.40%"
"Jan 01, 1989","415.6","404.6","429.8","393.5","204.49M","3.95%"
"Feb 01, 1989","401.4","415.6","421.9","388.8","148.92M","-3.42%"
"Mar 01, 1989","396.7","401.4","410.9","384.1","221.04M","-1.17%"
"Apr 01, 1989","398.3","403.0","406.1","379.4","119.81M","0.40%"
"May 01, 1989","429.8","399.8","432.9","395.1","225.84M","7.91%"
"Jun 01, 1989","418.2","429.8","440.8","413.2","194.42M","-2.70%"
