"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 1990","2,407.9","2,407.9","2,743.4","2,230.3","17.19M","0.00%"
"Feb 01, 1990","2,506.6","2,427.6","2,605.3","2,171.1","4.90M","4.10%"
"Mar 01, 1990","2,527.3","2,486.8","2,668.4","2,283.6","6.23M","0.83%"
"Apr 01, 1990","2,270.7","2,509.3","2,509.3","2,232.2","4.01M","-10.15%"
"May 01, 1990","2,517.0","2,270.7","2,542.7","2,255.3","6.81M","10.85%"
"Jun 01, 1990","3,207.2","2,540.1","3,361.2","2,540.1","29.47M","27.42%"
"Jul 01, 1990","3,489.5","3,181.6","3,617.8","3,002.0","14.55M","8.80%"
"Aug 01, 1990","3,181.6","3,540.8","3,566.5","2,463.2","7.99M","-8.82%"
"Sep 01, 1990","2,257.9","3,130.3","3,130.3","2,227.1","3.12M","-29.03%"
"Oct 01, 1990","2,976.3","2,283.6","3,232.9","2,180.9","10.62M","31.82%"
"Nov 01, 1990","2,796.7","2,925.0","3,309.9","2,694.1","8.75M","-6.03%"
"Dec 01, 1990","2,694.1","2,950.7","2,950.7","2,565.8","2.77M","-3.67%"
"Jan 01, 1991","2,873.7","2,719.7","3,002.0","2,560.7","4.80M","6.67%"
"Feb 01, 1991","3,155.9","2,848.0","3,412.5","2,745.4","10.69M","9.82%"
"Mar 01, 1991","3,771.7","3,130.3","3,823.0","3,002.0","16.56M","19.51%"
"Apr 01, 1991","4,182.2","3,746.1","4,387.5","3,617.8","26.03M","10.88%"
"May 01, 1991","4,361.8","4,233.6","4,464.5","3,874.3","14.07M","4.29%"
"Jun 01, 1991","4,413.2","4,387.5","4,695.4","4,259.2","18.86M","1.18%"
"Jul 01, 1991","4,284.9","4,464.5","4,541.5","3,977.0","6.66M","-2.91%"
"Aug 01, 1991","3,669.1","4,310.5","4,541.5","3,284.2","5.97M","-14.37%"
"Sep 01, 1991","4,079.6","3,643.4","4,079.6","3,438.2","4.12M","11.19%"
"Oct 01, 1991","3,720.4","4,028.3","4,028.3","3,540.8","5.19M","-8.80%"
"Nov 01, 1991","2,925.0","3,720.4","3,720.4","2,873.7","2.78M","-21.38%"
"Dec 01, 1991","2,822.4","2,925.0","3,027.6","2,668.4","1.86M","-3.51%"
"Jan 01, 1992","3,002.0","2,976.3","3,002.0","2,476.0","2.92M","6.36%"
"Feb 01, 1992","2,745.4","2,976.3","3,079.0","2,642.8","3.22M","-8.55%"
"Mar 01, 1992","2,091.1","2,771.1","2,796.7","2,091.1","3.41M","-23.83%"
"Apr 01, 1992","2,234.8","2,091.1","2,257.9","1,952.6","2.80M","6.87%"
"May 01, 1992","2,347.7","2,245.1","2,452.9","2,206.6","3.23M","5.05%"
"Jun 01, 1992","2,180.9","2,329.7","2,399.0","2,134.7","2.18M","-7.10%"
"Jul 01, 1992","1,693.4","2,186.1","2,270.7","1,603.6","2.44M","-22.35%"
"Aug 01, 1992","1,814.0","1,693.4","1,847.4","1,167.4","3.13M","7.12%"
"Sep 01, 1992","1,629.3","1,839.7","1,839.7","1,578.0","2.07M","-10.18%"
