"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 01, 1993","959.1","957.6","1,054.5","922.7","90.59M","0.16%"
"Nov 01, 1993","840.9","959.1","962.1","734.8","24.86M","-12.32%"
"Dec 01, 1993","904.5","868.2","925.8","850.0","33.28M","7.56%"
"Jan 01, 1994","1,209.1","909.1","1,222.7","906.1","103.26M","33.68%"
"Feb 01, 1994","1,319.7","1,212.1","1,322.7","1,134.8","78.51M","9.15%"
"Mar 01, 1994","1,238.3","1,316.7","1,331.8","1,099.2","72.84M","-6.17%"
"Apr 01, 1994","1,246.7","1,255.0","1,300.0","1,216.7","18.75M","0.68%"
"May 01, 1994","1,323.3","1,256.7","1,361.7","1,246.7","26.96M","6.14%"
"Jun 01, 1994","1,570.0","1,331.7","1,626.7","1,295.0","46.72M","18.64%"
"Jul 01, 1994","1,548.3","1,566.7","1,628.3","1,505.0","27.61M","-1.38%"
"Aug 01, 1994","1,716.7","1,666.7","1,766.7","1,545.0","98.76M","10.88%"
"Sep 01, 1994","1,440.0","1,700.0","1,716.7","1,396.7","72.21M","-16.12%"
"Oct 01, 1994","1,463.3","1,443.3","1,580.0","1,408.3","33.85M","1.62%"
"Nov 01, 1994","1,450.0","1,461.7","1,516.7","1,425.0","29.90M","-0.91%"
"Dec 01, 1994","1,433.3","1,441.7","1,466.7","1,385.0","36.42M","-1.15%"
"Jan 01, 1995","1,225.0","1,433.3","1,440.0","1,183.3","34.30M","-14.53%"
"Feb 01, 1995","1,195.0","1,225.0","1,323.3","1,126.7","81.51M","-2.45%"
"Mar 01, 1995","1,250.0","1,183.3","1,306.7","1,140.0","97.21M","4.60%"
"Apr 01, 1995","1,233.3","1,216.7","1,276.7","1,196.7","24.35M","-1.34%"
"May 01, 1995","936.7","1,233.3","1,258.3","925.0","25.84M","-24.05%"
"Jun 01, 1995","1,133.3","983.3","1,156.7","975.0","26.49M","20.99%"
"Jul 01, 1995","1,258.3","1,145.0","1,291.7","1,101.7","30.15M","11.03%"
"Aug 01, 1995","1,376.7","1,250.0","1,550.0","1,225.0","77.54M","9.41%"
"Sep 01, 1995","1,363.3","1,393.3","1,456.7","1,183.3","79.62M","-0.97%"
"Oct 01, 1995","1,381.7","1,363.3","1,405.0","1,318.3","37.38M","1.35%"
"Nov 01, 1995","1,363.3","1,386.7","1,405.0","1,253.3","30.12M","-1.33%"
"Dec 01, 1995","1,333.3","1,380.0","1,390.0","1,281.7","22.46M","-2.20%"
"Jan 01, 1996","1,310.0","1,350.0","1,411.7","1,296.7","36.34M","-1.75%"
"Feb 01, 1996","1,285.0","1,310.0","1,333.3","1,233.3","36.09M","-1.91%"
"Mar 01, 1996","1,358.3","1,285.0","1,383.3","1,206.7","40.50M","5.70%"
"Apr 01, 1996","1,498.3","1,390.0","1,523.3","1,381.7","58.71M","10.31%"
"May 01, 1996","1,560.0","1,498.3","1,571.7","1,398.3","40.25M","4.12%"
"Jun 01, 1996","1,593.3","1,558.3","1,613.3","1,511.7","70.00M","2.13%"
"Jul 01, 1996","1,438.3","1,593.3","1,600.0","1,418.3","25.58M","-9.73%"
"Aug 01, 1996","1,441.7","1,433.3","1,601.7","1,431.7","37.34M","0.24%"
"Sep 01, 1996","1,501.7","1,433.3","1,503.3","1,388.3","41.84M","4.16%"
"Oct 01, 1996","1,425.0","1,508.3","1,516.7","1,421.7","25.52M","-5.11%"
"Nov 01, 1996","1,358.3","1,416.7","1,421.7","1,326.7","34.55M","-4.68%"
"Dec 01, 1996","1,276.7","1,358.3","1,383.3","1,275.0","28.80M","-6.01%"
"Jan 01, 1997","1,238.3","1,280.0","1,318.3","1,196.7","36.01M","-3.01%"
"Feb 01, 1997","1,211.7","1,238.3","1,308.3","1,141.7","39.10M","-2.15%"
"Mar 01, 1997","1,301.7","1,208.3","1,331.7","1,185.0","34.24M","7.43%"
"Apr 01, 1997","1,405.0","1,306.7","1,433.3","1,295.0","38.82M","7.94%"
"May 01, 1997","1,448.3","1,418.3","1,498.3","1,366.7","46.47M","3.08%"
"Jun 01, 1997","1,410.0","1,448.3","1,525.0","1,355.0","45.33M","-2.64%"
