"Date","Price","Open","High","Low","Vol.","Change %"
"May 01, 2001","1,120.0","1,280.0","1,350.0","1,100.0","131.52M","-11.11%"
"Jun 01, 2001","1,040.0","1,140.0","1,150.0","970.0","184.81M","-7.14%"
"Jul 01, 2001","999.0","1,030.0","1,060.0","886.0","127.50M","-3.94%"
"Aug 01, 2001","1,010.0","990.0","1,050.0","911.0","154.59M","1.10%"
"Sep 01, 2001","930.0","1,030.0","1,140.0","906.0","209.07M","-7.92%"
"Oct 01, 2001","910.0","930.0","1,020.0","830.0","203.72M","-2.15%"
"Nov 01, 2001","843.0","920.0","936.0","795.0","202.46M","-7.36%"
"Dec 01, 2001","879.0","853.0","881.0","754.0","179.67M","4.27%"
"Jan 01, 2002","756.0","888.0","919.0","753.0","139.34M","-13.99%"
"Feb 01, 2002","808.0","760.0","842.0","688.0","203.35M","6.88%"
"Mar 01, 2002","792.0","808.0","948.0","790.0","210.38M","-1.98%"
"Apr 01, 2002","879.0","802.0","915.0","780.0","169.30M","10.98%"
"May 01, 2002","965.0","883.0","1,010.0","845.0","250.28M","9.78%"
"Jun 01, 2002","808.0","970.0","1,060.0","770.0","274.42M","-16.27%"
"Jul 01, 2002","812.0","819.0","925.0","791.0","247.53M","0.50%"
"Aug 01, 2002","819.0","802.0","844.0","787.0","159.57M","0.86%"
"Sep 01, 2002","899.0","815.0","915.0","700.0","325.30M","9.77%"
"Oct 01, 2002","799.0","871.0","901.0","750.0","281.85M","-11.12%"
"Nov 01, 2002","740.0","800.0","816.0","628.0","197.97M","-7.38%"
"Dec 01, 2002","645.0","745.0","765.0","620.0","160.67M","-12.84%"
"Jan 01, 2003","626.0","653.0","737.0","611.0","188.91M","-2.95%"
"Feb 01, 2003","524.0","626.0","673.0","519.0","415.90M","-16.29%"
"Mar 01, 2003","450.0","508.0","515.0","438.0","808.86M","-14.12%"
"Apr 01, 2003","404.0","445.0","456.0","351.0","415.28M","-10.22%"
"May 01, 2003","450.0","409.0","466.0","389.0","505.20M","11.39%"
"Jun 01, 2003","543.0","460.0","548.0","459.0","630.64M","20.67%"
"Jul 01, 2003","536.0","540.0","610.0","524.0","468.44M","-1.29%"
"Aug 01, 2003","680.0","537.0","707.0","475.0","685.22M","26.87%"
"Sep 01, 2003","705.0","694.0","747.0","629.0","732.62M","3.68%"
"Oct 01, 2003","790.0","735.0","929.0","720.0","940.36M","12.06%"
"Nov 01, 2003","818.0","810.0","828.0","672.0","505.32M","3.54%"
"Dec 01, 2003","836.0","788.0","837.0","745.0","355.66M","2.20%"
"Jan 01, 2004","827.0","847.0","850.0","790.0","327.16M","-1.08%"
"Feb 01, 2004","840.0","827.0","840.0","770.0","361.01M","1.57%"
"Mar 01, 2004","1,030.0","850.0","1,080.0","842.0","753.73M","22.62%"
"Apr 01, 2004","982.0","1,050.0","1,110.0","945.0","554.55M","-4.66%"
"May 01, 2004","944.0","992.0","997.0","800.0","422.53M","-3.87%"
"Jun 01, 2004","1,010.0","944.0","1,030.0","880.0","513.24M","6.99%"
"Jul 01, 2004","997.0","1,010.0","1,230.0","900.0","750.47M","-1.29%"
"Aug 01, 2004","985.0","995.0","1,080.0","911.0","777.58M","-1.20%"
"Sep 01, 2004","919.0","990.0","996.0","889.0","353.34M","-6.70%"
"Oct 01, 2004","900.0","922.0","972.0","858.0","423.56M","-2.07%"
"Nov 01, 2004","975.0","892.0","1,010.0","877.0","493.60M","8.33%"
"Dec 01, 2004","1,040.0","965.0","1,040.0","947.0","508.83M","6.67%"
"Jan 01, 2005","977.0","1,030.0","1,060.0","971.0","345.21M","-6.06%"
"Feb 01, 2005","954.0","987.0","1,010.0","938.0","446.93M","-2.35%"
